DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
21-Apr-2026,EQ,"501.75","510.95","501.75","501.05","505.00","504.20","506.75","815.05","421.45",909766,"46,10,20,614.80",24477
20-Apr-2026,EQ,"506.05","509.00","498.55","503.10","499.80","501.05","504.38","815.05","421.45",1272469,"64,18,07,352.95",23353
17-Apr-2026,EQ,"505.00","511.85","499.85","502.25","504.00","503.10","505.21","815.05","421.45",1669379,"84,33,80,761.20",27358
16-Apr-2026,EQ,"496.85","505.00","490.10","489.20","505.00","502.25","497.60","815.05","421.45",2409864,"1,19,91,59,395.25",42528
15-Apr-2026,EQ,"486.20","492.40","484.85","481.55","488.00","489.20","489.17","815.05","421.45",1349136,"65,99,58,484.85",21408
13-Apr-2026,EQ,"476.10","482.65","467.50","483.70","482.00","481.55","478.41","815.05","421.45",743371,"35,56,39,642.30",18863
10-Apr-2026,EQ,"485.70","490.85","479.20","482.25","484.00","483.70","484.19","815.05","421.45",1714106,"82,99,56,838.30",33169
09-Apr-2026,EQ,"473.70","483.40","463.85","473.70","482.20","482.25","478.15","815.05","421.45",1905747,"91,12,34,054.60",35877
08-Apr-2026,EQ,"465.00","475.00","464.50","453.60","474.80","473.70","470.38","815.05","421.45",1435680,"67,53,17,317.00",34677
07-Apr-2026,EQ,"449.80","454.95","443.30","450.45","452.90","453.60","451.34","815.05","421.45",1360169,"61,38,94,390.45",26371
06-Apr-2026,EQ,"441.65","453.00","435.80","439.25","450.50","450.45","447.80","815.05","421.45",1590046,"71,20,20,894.05",29201
02-Apr-2026,EQ,"438.00","441.00","429.00","444.55","438.90","439.25","434.27","815.05","421.45",1378288,"59,85,45,432.10",33671
01-Apr-2026,EQ,"437.95","452.55","434.00","425.30","444.25","444.55","446.91","815.05","421.45",1113085,"49,74,44,901.00",27068
30-Mar-2026,EQ,"431.95","434.20","423.50","438.20","424.00","425.30","429.34","815.05","421.45",3050426,"1,30,96,79,873.85",55312
27-Mar-2026,EQ,"441.00","442.75","432.85","445.15","440.00","438.20","437.17","815.05","421.45",2067540,"90,38,68,018.65",47591
25-Mar-2026,EQ,"443.00","450.55","435.70","433.10","445.00","445.15","445.22","815.05","421.45",1469610,"65,43,05,002.80",28207
24-Mar-2026,EQ,"435.00","439.00","423.40","423.75","439.00","433.10","431.04","815.05","421.45",2423789,"1,04,47,60,698.10",37482
23-Mar-2026,EQ,"442.95","442.95","421.45","447.30","425.10","423.75","425.91","815.05","421.45",2538797,"1,08,12,95,920.15",53473
20-Mar-2026,EQ,"443.90","453.95","443.55","440.65","446.85","447.30","449.14","815.05","438.40",1689715,"75,89,21,619.35",27727
19-Mar-2026,EQ,"454.00","454.95","438.40","458.85","442.50","440.65","444.64","815.05","438.40",1517788,"67,48,72,638.90",32524
18-Mar-2026,EQ,"455.00","463.90","452.55","452.40","458.55","458.85","460.08","815.05","443.50",3362845,"1,54,71,77,678.10",35825
17-Mar-2026,EQ,"458.00","458.00","450.10","454.30","452.00","452.40","452.21","815.05","443.50",1178095,"53,27,45,668.00",28813
16-Mar-2026,EQ,"453.60","457.50","443.50","453.40","452.90","454.30","451.83","815.05","443.50",2268253,"1,02,48,72,348.90",38222
13-Mar-2026,EQ,"465.00","466.10","452.00","467.15","452.05","453.40","456.62","815.05","452.00",1590961,"72,64,68,359.50",26448
12-Mar-2026,EQ,"468.50","471.20","458.45","470.45","468.00","467.15","466.36","815.05","458.45",3982340,"1,85,71,89,426.45",48297
11-Mar-2026,EQ,"476.00","482.75","468.00","472.80","468.50","470.45","477.95","815.05","459.20",1698903,"81,19,88,824.75",34917
10-Mar-2026,EQ,"479.00","479.75","468.45","473.75","474.20","472.80","473.10","815.05","459.20",1298211,"61,41,79,120.95",30218
09-Mar-2026,EQ,"470.00","475.70","461.00","479.75","475.35","473.75","470.13","815.05","459.20",1490001,"70,04,88,797.30",40608
06-Mar-2026,EQ,"479.00","489.00","476.20","479.95","481.20","479.75","485.14","815.05","459.20",972797,"47,19,40,232.30",21655
05-Mar-2026,EQ,"463.45","482.00","459.20","462.20","481.05","479.95","471.99","815.05","459.20",1631195,"76,99,12,232.85",29567
04-Mar-2026,EQ,"472.00","473.95","460.45","479.00","462.00","462.20","464.58","815.05","460.45",2452543,"1,13,94,07,094.25",43032
02-Mar-2026,EQ,"488.95","489.10","474.75","495.65","480.25","479.00","479.56","815.05","472.75",1656198,"79,42,46,094.65",31274
27-Feb-2026,EQ,"499.00","501.30","490.50","499.85","495.00","495.65","495.99","815.05","472.75",1765303,"87,55,73,699.45",22586
26-Feb-2026,EQ,"501.05","502.60","496.00","500.70","500.00","499.85","499.48","815.05","472.75",455187,"22,73,54,727.50",16401
25-Feb-2026,EQ,"506.00","507.60","498.70","505.50","500.60","500.70","502.74","815.05","472.75",837478,"42,10,31,891.15",21228
24-Feb-2026,EQ,"507.05","507.20","498.80","507.05","506.00","505.50","502.86","815.05","472.75",907856,"45,65,28,761.15",20702
23-Feb-2026,EQ,"505.00","512.45","504.00","503.00","507.20","507.05","507.23","815.05","472.75",676014,"34,28,91,547.90",23794
20-Feb-2026,EQ,"503.50","506.65","501.40","505.75","503.80","503.00","503.82","815.05","472.75",500149,"25,19,86,109.50",13220
19-Feb-2026,EQ,"507.50","509.55","501.10","506.55","502.00","505.75","505.48","815.05","472.75",1396400,"70,58,45,305.70",20483
18-Feb-2026,EQ,"505.55","508.45","501.50","505.50","506.00","506.55","505.82","815.05","472.75",862450,"43,62,44,237.65",22337
17-Feb-2026,EQ,"501.80","511.90","501.60","503.75","503.75","505.50","507.21","815.05","472.75",849521,"43,08,81,721.55",18697
16-Feb-2026,EQ,"497.00","504.65","494.00","498.30","503.20","503.75","501.12","815.05","472.75",321857,"16,12,90,271.70",9767
13-Feb-2026,EQ,"503.00","503.90","497.00","506.85","497.50","498.30","500.15","815.05","472.75",588653,"29,44,14,904.50",15018
12-Feb-2026,EQ,"513.45","514.50","504.30","515.15","504.30","506.85","508.44","815.05","472.75",656800,"33,39,41,861.25",15778
11-Feb-2026,EQ,"515.10","516.85","510.15","513.60","515.00","515.15","513.67","815.05","472.75",678384,"34,84,64,834.10",16522
10-Feb-2026,EQ,"512.10","522.30","512.10","513.60","513.85","513.60","516.80","815.05","472.75",1721935,"88,99,01,152.55",24838
09-Feb-2026,EQ,"515.00","516.15","508.25","509.50","513.50","513.60","513.07","815.05","472.75",788634,"40,46,22,608.50",30833
06-Feb-2026,EQ,"519.65","519.65","506.05","522.05","510.75","509.50","510.29","815.05","472.75",2087933,"1,06,54,59,660.40",27873
05-Feb-2026,EQ,"528.40","528.40","517.20","527.15","519.00","522.05","522.57","815.05","472.75",1789564,"93,51,68,040.45",23451
04-Feb-2026,EQ,"529.95","529.95","521.40","527.90","527.00","527.15","525.54","815.05","472.75",938863,"49,34,13,813.95",25393
03-Feb-2026,EQ,"530.00","538.95","519.15","507.85","528.00","527.90","526.71","815.05","472.75",2317632,"1,22,07,18,674.60",52768
02-Feb-2026,EQ,"505.00","513.05","496.50","505.35","508.00","507.85","506.35","815.05","472.75",1356715,"68,69,72,147.75",29280
01-Feb-2026,EQ,"505.00","524.60","485.85","502.25","503.55","505.35","510.21","815.05","472.75",3819145,"1,94,85,61,927.25",63159
30-Jan-2026,EQ,"490.60","506.95","486.40","500.60","502.85","502.25","500.08","815.05","472.75",2721298,"1,36,08,75,792.35",55320
29-Jan-2026,EQ,"499.50","503.50","492.95","496.35","500.00","500.60","498.33","815.05","472.75",829501,"41,33,61,551.45",18665
28-Jan-2026,EQ,"484.90","497.75","484.00","485.35","497.00","496.35","491.58","815.05","472.75",2045216,"1,00,53,89,306.05",31453
27-Jan-2026,EQ,"481.00","487.95","472.75","479.75","484.85","485.35","479.37","815.05","472.75",1625304,"77,91,28,433.40",38878
23-Jan-2026,EQ,"495.95","497.85","478.00","494.35","479.00","479.75","488.25","815.05","478.00",2067105,"1,00,92,59,278.75",42013
22-Jan-2026,EQ,"498.05","506.45","493.35","496.15","497.00","494.35","498.18","815.05","485.65",2130796,"1,06,15,17,519.25",20207
21-Jan-2026,EQ,"498.00","500.30","485.65","497.85","496.00","496.15","495.28","815.05","485.65",1551150,"76,82,53,066.80",29759
20-Jan-2026,EQ,"514.90","515.35","495.05","514.90","497.00","497.85","505.00","815.05","490.55",1509115,"76,21,07,307.65",40816
19-Jan-2026,EQ,"518.00","521.05","512.80","519.70","512.80","514.90","516.49","815.05","490.55",341171,"17,62,12,357.35",12195
16-Jan-2026,EQ,"519.50","524.00","516.65","519.50","520.00","519.70","520.93","815.05","490.55",899884,"46,87,78,579.85",19810
14-Jan-2026,EQ,"517.65","521.10","512.60","517.50","520.80","519.50","517.58","815.05","490.55",1234098,"63,87,46,628.15",29312
13-Jan-2026,EQ,"514.40","520.00","511.05","513.05","517.65","517.50","516.48","815.05","490.55",945349,"48,82,49,909.35",26602
12-Jan-2026,EQ,"510.00","514.60","504.45","513.05","513.25","513.05","510.25","815.05","490.55",1101529,"56,20,59,049.10",25512
09-Jan-2026,EQ,"516.00","521.75","510.35","518.50","512.95","513.05","515.86","815.05","490.55",1180695,"60,90,76,114.20",27640
08-Jan-2026,EQ,"532.70","533.85","515.10","532.80","515.50","518.50","523.63","815.05","490.55",1249186,"65,41,11,325.30",27369
07-Jan-2026,EQ,"528.00","534.00","527.50","529.95","533.65","532.80","531.33","815.05","490.55",900391,"47,84,03,680.20",19718
06-Jan-2026,EQ,"529.00","531.05","525.25","528.35","530.10","529.95","528.86","815.05","490.55",1296041,"68,54,28,979.35",23800
05-Jan-2026,EQ,"532.50","534.00","523.05","531.80","529.00","528.35","528.15","815.05","490.55",1215043,"64,17,19,830.35",21343
02-Jan-2026,EQ,"526.65","532.70","523.65","524.25","532.10","531.80","529.62","815.05","490.55",959087,"50,79,48,812.45",16433
01-Jan-2026,EQ,"527.55","529.00","521.90","524.95","523.50","524.25","524.83","815.05","490.55",515680,"27,06,46,597.90",12763
31-Dec-2025,EQ,"518.00","527.50","517.35","519.00","525.15","524.95","525.30","815.05","490.55",1086995,"57,09,94,950.70",17839
30-Dec-2025,EQ,"520.25","522.75","514.25","519.95","518.05","519.00","519.87","815.05","490.55",2922482,"1,51,92,98,651.95",43579
29-Dec-2025,EQ,"524.90","524.90","514.95","520.30","520.25","519.95","518.92","815.05","490.55",3004989,"1,55,93,46,244.20",44280
26-Dec-2025,EQ,"509.05","523.00","507.85","508.60","519.55","520.30","519.11","815.05","490.55",2498657,"1,29,70,75,920.70",36725
24-Dec-2025,EQ,"515.05","515.30","506.75","512.60","509.05","508.60","510.02","815.05","490.55",476260,"24,29,00,599.15",11887
23-Dec-2025,EQ,"510.70","517.00","506.90","508.40","512.30","512.60","513.26","815.05","490.55",943869,"48,44,53,185.00",22973
22-Dec-2025,EQ,"503.00","509.70","501.85","501.35","507.30","508.40","506.76","815.05","490.55",544519,"27,59,38,526.00",12530
19-Dec-2025,EQ,"500.40","502.40","496.10","498.25","501.55","501.35","500.00","828.90","490.55",656526,"32,82,63,205.25",12791
18-Dec-2025,EQ,"496.35","499.40","490.55","496.35","498.40","498.25","496.45","828.90","490.55",1027471,"51,00,84,070.40",20501
17-Dec-2025,EQ,"499.00","502.20","495.00","499.60","495.05","496.35","497.91","828.90","493.35",642928,"32,01,21,895.15",11692
16-Dec-2025,EQ,"502.75","503.40","497.60","502.75","498.30","499.60","500.15","828.90","493.35",1094602,"54,74,62,368.30",16482
15-Dec-2025,EQ,"506.00","506.00","501.55","505.50","503.00","502.75","503.30","828.90","493.35",381813,"19,21,67,716.20",8248
12-Dec-2025,EQ,"507.90","507.90","498.55","505.95","505.70","505.50","502.56","866.00","493.35",1402759,"70,49,72,449.05",27513
11-Dec-2025,EQ,"505.00","508.00","501.85","503.25","507.10","505.95","505.29","866.00","493.35",594838,"30,05,67,371.05",11500
10-Dec-2025,EQ,"505.60","513.00","501.45","505.65","501.75","503.25","506.83","866.00","493.35",954403,"48,37,16,149.85",12902
09-Dec-2025,EQ,"498.00","509.50","493.35","500.15","505.00","505.65","502.10","866.00","493.35",2303371,"1,15,65,19,655.00",27290
08-Dec-2025,EQ,"508.25","511.20","497.00","511.05","499.75","500.15","504.49","866.00","497.00",2824676,"1,42,50,29,811.45",26838
05-Dec-2025,EQ,"510.50","514.35","507.10","512.70","510.55","511.05","511.00","866.00","500.40",2120474,"1,08,35,57,547.65",25771
04-Dec-2025,EQ,"506.50","515.10","506.45","506.50","511.65","512.70","511.96","866.00","500.40",1718268,"87,96,83,305.80",22718
03-Dec-2025,EQ,"504.00","508.95","500.40","503.40","508.00","506.50","503.93","866.00","500.40",1477035,"74,43,24,566.65",29257
02-Dec-2025,EQ,"504.30","506.80","502.45","505.80","504.25","503.40","504.13","866.00","502.45",2726576,"1,37,45,45,234.75",27100
01-Dec-2025,EQ,"513.10","513.80","504.30","511.25","505.40","505.80","507.81","866.00","504.30",1280746,"65,03,76,194.35",30417
28-Nov-2025,EQ,"515.00","515.90","510.30","514.05","510.95","511.25","512.58","866.00","507.45",599724,"30,74,04,046.95",14003
27-Nov-2025,EQ,"518.65","520.45","513.00","518.60","514.40","514.05","515.24","866.00","507.45",846809,"43,63,06,913.35",16891
26-Nov-2025,EQ,"513.50","523.90","512.70","512.50","518.40","518.60","519.60","866.00","507.45",1680398,"87,31,27,886.10",31336
25-Nov-2025,EQ,"513.50","518.45","510.50","514.95","512.50","512.50","512.96","866.00","507.45",1781603,"91,38,86,086.35",27435
24-Nov-2025,EQ,"511.45","519.45","507.45","511.20","517.75","514.95","514.73","866.00","507.45",36866483,"18,97,63,88,929.80",104371
21-Nov-2025,EQ,"515.35","519.35","510.00","515.40","511.50","511.20","515.02","866.00","510.00",3148760,"1,62,16,65,952.15",37515
20-Nov-2025,EQ,"519.90","519.90","513.40","517.55","516.55","515.40","516.70","866.00","512.00",3145380,"1,62,52,25,399.00",50003
19-Nov-2025,EQ,"525.40","528.40","516.00","522.60","517.00","517.55","521.17","866.00","512.00",1589480,"82,83,86,937.55",34234
18-Nov-2025,EQ,"518.15","526.00","512.00","518.15","524.00","522.60","518.89","866.00","512.00",3630058,"1,88,36,10,343.75",60700
17-Nov-2025,EQ,"518.85","521.95","517.10","518.85","518.40","518.15","519.69","866.00","515.80",1443272,"75,00,55,139.65",24760
14-Nov-2025,EQ,"525.00","525.00","516.55","523.90","519.00","518.85","519.40","866.00","515.80",1470642,"76,38,57,990.40",47392
13-Nov-2025,EQ,"534.05","534.85","522.80","530.45","524.00","523.90","527.38","866.00","515.80",861847,"45,45,22,189.30",19334
12-Nov-2025,EQ,"530.00","538.50","524.70","522.90","531.00","530.45","531.44","866.00","515.80",4975992,"2,64,44,24,796.15",41866
11-Nov-2025,EQ,"522.10","524.10","515.85","521.35","522.00","522.90","521.39","866.00","515.80",3241835,"1,69,02,55,677.05",44934
10-Nov-2025,EQ,"525.90","526.55","520.35","521.70","521.50","521.35","523.64","866.00","515.80",1023573,"53,59,79,926.65",34589
07-Nov-2025,EQ,"519.55","523.50","515.80","519.35","521.90","521.70","520.43","868.00","515.80",1513467,"78,76,55,822.05",21161
06-Nov-2025,EQ,"541.80","541.80","518.00","542.50","519.50","519.35","521.77","868.00","518.00",4558191,"2,37,83,23,447.35",64196
04-Nov-2025,EQ,"549.85","551.00","539.35","549.85","541.55","542.50","543.94","868.00","520.65",711007,"38,67,44,544.05",26480
03-Nov-2025,EQ,"545.55","553.00","544.25","545.25","550.60","549.85","549.42","868.00","520.65",639776,"35,15,08,413.70",19328
31-Oct-2025,EQ,"550.00","550.80","544.10","549.60","546.95","545.25","546.99","868.00","520.65",777245,"42,51,47,671.20",26610
30-Oct-2025,EQ,"557.00","557.00","548.10","553.85","550.00","549.60","551.48","868.00","520.65",1211602,"66,81,75,034.95",25572
29-Oct-2025,EQ,"542.00","555.90","537.10","541.20","555.30","553.85","548.19","868.00","520.65",1653604,"90,64,95,984.80",27229
28-Oct-2025,EQ,"542.00","543.20","536.65","540.75","542.00","541.20","540.05","868.00","520.65",2511759,"1,35,64,82,385.20",35002
27-Oct-2025,EQ,"538.50","544.00","537.00","536.90","541.15","540.75","541.16","868.00","520.65",643617,"34,83,00,099.20",18144
24-Oct-2025,EQ,"535.45","542.50","535.45","534.75","536.95","536.90","539.55","875.95","520.65",1135433,"61,26,22,189.65",29412
23-Oct-2025,EQ,"537.00","539.25","533.55","534.10","535.50","534.75","536.35","875.95","520.65",548423,"29,41,47,587.80",19854
21-Oct-2025,EQ,"536.05","536.65","533.10","533.80","534.40","534.10","534.74","875.95","520.65",111400,"5,95,70,310.95",5178
20-Oct-2025,EQ,"532.00","537.20","530.35","529.50","533.60","533.80","534.49","875.95","520.65",615756,"32,91,15,463.15",20168
17-Oct-2025,EQ,"535.00","535.00","525.70","534.10","530.00","529.50","529.56","889.95","520.65",699709,"37,05,38,246.15",21692
